Item Number,Level 1,Level 2,Level 3,Level 4,Level 5,Description Line 1_x,Brand Name,Pack Size,Unit of Measure_x,Priced by Weight,Description Line 2,Description Line 3,Class Name,Special Order,Item Image,On Hand Quantity_x,Item Avg. Weight,Due Date,Unit of Measure_y,Description Line 1_y,On Hand Quantity_y,Quantity Ordered,Open Balance,Expected Date
71062,50.35,43.15,0.0,40.3,35.55,Gelatin Sheets Silver,Gelita,1kg,PC.,N,Lot code:,,TECHNCAL NGRDNT,N,,12,0.0,/  /,PC.,Gelatin Sheets Silver,12,100.0,100.0,08/07/23
71076,12.05,12.05,11.75,11.25,9.95,Sage Derby 9lb,Thistle Hill,9lb,CASE,Y,,,CHEESE ENGLAND,N,,0,9.0,/  /,CASE,Sage Derby 9lb,0,8.0,8.0,07/31/23
71089,2.0,0.0,0.0,1.6,1.45,Buckwheat Flour Organic,Potenza,25lb,CASE,Y,,,FLOUR,N,,5,25.0,07/26/23,CASE,Buckwheat Flour Organic,5,3.0,3.0,07/26/23
71093,105.9,102.95,0.0,98.8,87.2,Verjus Blanc,Fusion,6/750mL,CASE,N,,,VINEGARS,N,,6,0.0,/  /,CASE,Verjus Blanc,6,16.0,16.0,08/08/23
71224,53.5,52.75,52.0,49.95,44.05,Spicy Greek Garden Medley,Divina,2/5lb,CASE,N,,,VEGETABLES,Y,,1,0.0,/  /,CASE,Spicy Greek Garden Medley,1,5.0,5.0,08/03/23
71225,70.85,69.85,68.85,66.1,58.35,Tangerine & Chili Olives Pitted,Divina,2/7.4lb,CASE,N,,,OLIVES,N,,2,0.0,/  /,CASE,Tangerine & Chili Olives Pitted,2,3.0,3.0,08/03/23
71500,127.7,124.05,120.6,115.8,102.15,Chorizo Dried Hot Spanish,Palacios,14/7.9oz,CASE,N,,,MEAT SPANISH,N,,0,0.0,/  /,CASE,Chorizo Dried Hot Spanish,0,12.0,12.0,07/31/23
71511,48.7,45.25,44.0,42.2,37.25,Tapas Hojaldrada Empanada Dough*,Goya,16/11.6oz,CASE,N,,,LATIN FOODS,Y,,12,10.0,/  /,CASE,Tapas Hojaldrada Empanada Dough*,12,8.0,8.0,07/27/23
72022,128.6,126.8,125.0,120.0,105.9,Cornichons,Ambrosia,6/5kg,CASE,N,,,PICKLES,N,,4,0.0,07/26/23,CASE,Cornichons,4,10.0,10.0,08/02/23
72109,251.0,247.45,244.0,234.25,225.25,Jivara-Milk Chocolate (Feves),Valrhona,3/3kg,CASE,N,4658,,CHOC COUVERTURE,N,,7,0.0,/  /,CASE,Jivara-Milk Chocolate (Feves),7,20.0,20.0,07/31/23
72110,275.65,271.75,268.0,257.25,247.35,Guanaja 70% (Feves),Valrhona,3/3kg,CASE,N,4653,,CHOC COUVERTURE,N,,6,0.0,/  /,CASE,Guanaja 70% (Feves),6,8.0,8.0,07/31/23
72125,279.2,275.3,271.45,260.6,250.6,Caramelia (Feves)36%,Valrhona,3/3kg,CASE,N,#7098,,CHOC COUVERTURE,N,,13,0.0,/  /,CASE,Caramelia (Feves)36%,13,2.0,2.0,07/31/23
