"Item Number","Unit of Measure","Description Line 1","On Hand Quantity","Quantity Ordered","Open Balance","Expected Date"
"78562","PC.","Vegetable Glycerin*",-1,1.00,1.00,"07/24/23"
"10195","CASE","Sir Galahad Flour",69,550.00,550.00,"07/28/23"
"10198","CASE","Special Patent Flour",65,300.00,300.00,"07/28/23"
"00007","EACH","Freight / Fuel Charges",0,1.00,1.00,"07/28/23"
"77726","CASE","Croissant Large",85,90.00,90.00,"07/31/23"
"77869","CASE","Danish Cheese Large",21,8.00,8.00,"07/31/23"
"77737","CASE","Croissant Spinach & Ricotta",21,16.00,16.00,"07/31/23"
"77753","CASE","Blueberry Danish (Small)*",20,10.00,10.00,"07/31/23"
"77734","CASE","Danish Cherry Small",18,4.00,4.00,"07/31/23"
"99994","CASE","Croissant Dough Sheets",17,4.00,4.00,"07/31/23"
"77757","CASE","Cinnamon Bun Medium",17,12.00,12.00,"07/31/23"
"77724","CASE","Croissant Chocolate Large",17,90.00,90.00,"07/31/23"
"77725","CASE","Croissant Small",15,40.00,40.00,"07/31/23"
"77735","CASE","Croissant Ham & Swiss",13,24.00,24.00,"07/31/23"
"77825","CASE","Croissant Almond log Medium",10,8.00,8.00,"07/31/23"
"77763","CASE","Cinnamon Bun Small",9,12.00,12.00,"07/31/23"
"77751","CASE","Croissant Raisin Large",8,12.00,12.00,"07/31/23"
"77732","CASE","Danish Cheese Small",8,4.00,4.00,"07/31/23"
"77835","CASE","Danish Cinnamon Large",5,8.00,8.00,"07/31/23"
"77802","CASE","Puff Pastry Full Sheets",5,8.00,8.00,"07/31/23"
"77729","CASE","Danish Apple Small",4,8.00,8.00,"07/31/23"
"77733","CASE","Danish Apricot Small",3,4.00,4.00,"07/31/23"
"77845","CASE","Danish Variety Pack Small",0,24.00,24.00,"07/31/23"
"77723","CASE","Puff Pastry Half Sheets",0,24.00,24.00,"07/31/23"
"85572","CASE","Chips Potato Iberico Ham",12,6.00,6.00,"07/31/23"
"85573","CASE","Chips Potato Extra Virgin Olive Oil",8,8.00,8.00,"07/31/23"
"77076","PC.","Serrano 12 Month Boneless",8,6.00,6.00,"07/31/23"
"85576","CASE","Chips Potato Cured Cheese",7,8.00,8.00,"07/31/23"
"85569","CASE","Serrano Ham Sliced Palacios 3.5oz",5,8.00,8.00,"07/31/23"
"77222","CASE","Cantimpalitos*",3,1.00,1.00,"07/31/23"
"85555","CASE","Manzanilla Olives Pitted",2,1.00,1.00,"07/31/23"
"77068","CASE","Salchichon De Vic Dry Salami 7/1.5",2,8.00,8.00,"07/31/23"
"77062","CASE","Piparras Basque Green Peppers 1gal",2,2.00,2.00,"07/31/23"
"85561","CASE","Olive Mix Carmona Natural",1,1.00,1.00,"07/31/23"
"77083","CASE","Blood Sausage Morcilla de Cebolla",1,2.00,2.00,"07/31/23"
"77061","CASE","Chorizo Soria",1,4.00,4.00,"07/31/23"
"85585","CASE","Chorizo Iberico 15/2oz",0,3.00,3.00,"07/31/23"
"77081","CASE","Sausage Chistorra Basque Style*",0,4.00,4.00,"07/31/23"
"71500","CASE","Chorizo Dried Hot Spanish",0,12.00,12.00,"07/31/23"
"38100","CASE","Iberico Queso",0,2.00,2.00,"07/31/23"
"77060","CASE","Chorizo Bilbao Semi Cured 10/16oz",-2,16.00,16.00,"07/31/23"
"85571","CASE","Chips Potato Black Truffle",-4,25.00,25.00,"07/31/23"
"77801","CASE","Fried Wonton Wrapper*",2,2.00,2.00,"07/26/23"
"77791","CASE","Dumpling Wrappers Round",1,6.00,6.00,"07/26/23"
"45115","CASE","Royal Basmati 20lb",0,6.00,6.00,"07/26/23"
"50032","CASE","Pho Noodle*",-2,2.00,2.00,"07/26/23"
