"Item Number","Level 1","Level 2","Level 3","Level 4","Level 5","Description Line 1","Brand Name","Pack Size","Unit of Measure","Priced by Weight","Description Line 2","Description Line 3","Class Name","Special Order","Item Image","On Hand Quantity","Item Avg. Weight","Due Date"
"88201",61.60,57.20,56.40,53.40,47.15,"Coconut Aminos Organic","Kevala","1gal","GAL.","N","","","ASIAN SAUCES","N",,43,0.00,"/  /"
"88204",106.90,105.40,103.90,99.75,88.00,"Almond Butter Smooth","PB Love CO","8.5lb","PAIL","N","","","PRESERVES","N",,0,0.00,"/  /"
"88205",62.20,61.30,60.45,58.05,51.20,"Peanut Butter Creamy (no salt)","PB Love CO","16lb","PAIL","N","","","PRESERVES","N",,0,0.00,"/  /"
"88401",14.75,14.55,14.35,13.75,0.00,"Duo Cigarettes 4.2""","Mona Lisa","100ct","BOX","N","CHX-RO-90060-A99","","CHOCOLATE DECOR","N",,18,0.00,"/  /"
"88602",50.40,49.65,49.00,47.00,41.50,"Cold Brew Coffee Ice Cream 1.5gal*","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","Y",,0,0.00,"/  /"
"88603",51.80,51.10,50.35,48.35,42.65,"Pistachio Ice Cream 1.5  gal*","Sweet Action","1.5 gal","TUB","N","","","ICE CREAM","Y",,2,0.00,"/  /"
"88607",50.40,49.65,49.00,47.00,41.50,"Lemon Sorbet 1.5gal","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","N",,4,0.00,"/  /"
"88608",57.50,56.70,55.95,53.70,47.40,"Raspberry Sorbet 1.5gal","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","N",,5,0.00,"/  /"
"88609",46.10,45.45,44.80,43.00,37.95,"Mango Sorbet 1.5gal","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","N",,8,0.00,"/  /"
"88611",46.10,45.45,44.80,43.00,37.95,"Colorado White Russian Pints*","Sweet Action","8/16oz","CASE","N","","","ICE CREAM","Y",,1,0.00,"/  /"
"88612",51.80,51.10,50.35,48.35,42.65,"Chocolate Fudge Brownie Pints*","Sweet Action","8/16oz","CASE","N","","","ICE CREAM","Y",,1,0.00,"/  /"
"88614",56.10,55.30,54.55,52.35,46.20,"Blood Orange Sorbet 1.5g*","Sweet Action","1.5g","TUB","N","","","ICE CREAM","Y",,0,0.00,"/  /"
"88620",42.90,42.30,41.70,40.00,35.30,"Marshmallow Ice Cream 1.5gal*","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","Y",,-6,0.00,"/  /"
"88626",50.00,49.30,48.65,46.70,41.20,"Vegan Mint Chip Ice Cream 1.5gal*","Sweet Action","1.5gal","TUB","N","","","ICE CREAM","Y",,-2,0.00,"/  /"
"88629",51.80,51.10,50.35,48.35,42.65,"Thai Iced Tea Ice Cream Pints*","Sweet Action","8/16oz","CASE","N","","","ICE CREAM","Y",,1,0.00,"/  /"
