"Item Number","Level 1","Level 2","Level 3","Level 4","Level 5","Description Line 1","Brand Name","Pack Size","Unit of Measure","Priced by Weight","Description Line 2","Description Line 3","Class Name","Special Order","Item Image","On Hand Quantity","Item Avg. Weight","Due Date"
"15007",33.75,33.30,32.80,31.50,27.80,"Cinnamon Raisin Bagels 4oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,49,0.00,"/  /"
"15008",32.85,32.40,31.95,30.70,27.05,"Whole Wheat Bagels 4oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,25,0.00,"/  /"
"15009",27.75,27.35,26.95,25.90,22.85,"Assorted Bagels 4oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,4,0.00,"/  /"
"15010",32.30,31.85,31.40,30.15,26.60,"Garlic Bagels 4oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,0,0.00,"/  /"
"15012",39.30,38.75,38.20,36.70,32.40,"Chocolate Chip Bagels-4.5oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,14,0.00,"/  /"
"15013",27.25,26.90,26.50,25.45,22.45,"Apple Crumb Bagels-4oz","Just Bagels","24ct","CASE","N","","","BAGELS","N",,9,0.00,"/  /"
"15020",176.05,173.60,171.15,164.35,145.00,"Plugra Butter Unsalted 82%","Plugra","36/1lb","CASE","N","","","DAIRY","N",,105,0.00,"/  /"
"15025",27.25,26.90,26.50,25.45,22.45,"Bluberry Crumb Bagels-4oz","Just Bagels","24ct","CASE","N","","","BAGELS","N",,10,0.00,"/  /"
"15030",34.85,34.40,33.90,32.55,28.70,"Bialys Bagels*","Just Bagels","60ct","CASE","N","","","BAGELS","Y",,0,0.00,"/  /"
"15035",221.10,218.00,214.95,206.35,182.10,"Butter Sheets Unsalted","Isigny Ste Mere","10/2.2lb","CASE","N","","","DAIRY","N",,42,0.00,"07/24/23"
"15038",42.10,39.10,38.05,36.50,32.20,"Black & White Cookies 18/3.5oz","Lilly's","18/3.5oz","CASE","N","","","COOKIES","N",,54,0.00,"/  /"
"15040",85.75,82.15,81.00,77.75,68.60,"Acai Puree","Sambazon","10/4/100g","CASE","N","","","PUREE","N",,5,0.00,"/  /"
"15040P",9.25,8.25,8.10,7.80,6.90,"Acai Puree 4/100g","Sambazon","4/100g","PC.","N","","","PUREE","N",,3,0.00,"/  /"
"15042",29.25,28.85,28.45,27.30,24.10,"Plain Bagels 2oz Unsliced*","Just Bagels","72ct","CASE","N","","","BAGELS","Y",,0,0.00,"/  /"
"15043",0.00,0.00,0.00,0.00,0.00,"Sesame Bagels 2oz Unsliced","Just Bagels","72ct","CASE","N","","","BAGELS","N",,2,0.00,"/  /"
"15044",33.00,32.55,32.10,30.80,27.20,"Everything Bagels 2oz Unsliced*","Just Bagels","72ct","CASE","N","","","BAGELS","Y",,0,0.00,"/  /"
"15050",51.40,0.00,0.00,48.00,42.35,"Tuscan Pizza Bagels 4oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,36,0.00,"/  /"
"15051",36.55,33.90,33.00,31.65,27.95,"Sun Dried Tomato Bagels 4.5oz*","Just Bagels","48ct","CASE","N","","","BAGELS","Y",,33,0.00,"/  /"
"15052",33.90,33.90,33.00,31.65,27.95,"Blueberry Bagels 4.5oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,14,0.00,"/  /"
"15053",31.95,29.65,28.85,27.70,24.45,"Jalapeno Bagels 4.5oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,10,0.00,"/  /"
"15054",34.80,34.80,33.85,32.50,28.65,"French Toast Bagels 4.5oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,5,0.00,"/  /"
"15060",94.50,93.20,91.90,88.20,73.15,"Juice Blood Orange 12/1L","Mongibello","12/1L","CASE","N","","","BEVERAGE JUICE","N",,7,0.00,"/  /"
"15063",54.80,50.90,49.50,47.50,41.90,"Jalapeno Cheddar Bagels 4.5oz","Just Bagels","48ct","CASE","N","","","BAGELS","N",,13,13.00,"/  /"
"15064",49.30,48.60,47.95,46.00,40.60,"Protein Powder Plant Based Vanilla*","Orgain","2lb","PC.","N","","","BEVERAGES","Y",,5,0.00,"/  /"
"15065",50.80,50.10,49.40,47.45,41.85,"Protein Powder Plant Based Choc*","Orgain","2lb","PC.","N","","","BEVERAGES","Y",,5,0.00,"/  /"
"15066",28.90,28.50,28.10,26.95,23.80,"Poppyseed Bagels 2oz Unsliced","Just Bagels","72ct","CASE","N","","","BAGELS","N",,6,10.00,"/  /"
"15101",14.40,14.20,14.00,13.45,11.85,"Locatelli Romano*","Locatelli","15lb","PC.","Y","","","CHEESE ITALY","Y",,0,15.00,"/  /"
"15520",34.35,33.85,33.40,32.05,28.30,"Roaring Pineapple Kombucha","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,15,0.00,"/  /"
"15521",34.35,33.85,33.40,32.05,28.30,"Alpine Lavender Kombucha","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,40,0.00,"/  /"
"15522",34.35,33.85,33.40,32.05,28.30,"Savory Peach Kombucha","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,28,0.00,"/  /"
"15523",34.35,33.85,33.40,32.05,28.30,"Strawberry Tonic Kombucha","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,16,0.00,"/  /"
"15524",34.35,33.85,33.40,32.05,28.30,"Rowdy Belly Kombucha","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,30,0.00,"/  /"
"15526",34.35,33.85,33.40,32.05,28.30,"Go Go Grapefruit Kombucha","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,15,0.00,"/  /"
"15530",34.05,33.55,33.10,31.80,28.05,"Watermelon Bloom Kombucha","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,29,0.00,"/  /"
"15531",33.70,33.20,32.75,31.45,27.75,"Ashwaganda Blackberry Adaptonic","Rowdy Mermaid","12/12oz","CASE","N","","","BEVERAGES","N",,13,0.00,"/  /"
"15532",33.70,33.20,32.75,31.45,27.75,"Matcha Yuzu Adaptonic","Rowdy Mermaid","12/12 oz","CASE","N","","","BEVERAGES","N",,16,0.00,"/  /"
"15533",33.70,33.20,32.75,31.45,27.75,"Strawberry Holy Basil Adaptonic","Rowdy Mermaid","12/12 oz","CASE","N","","","BEVERAGES","N",,24,0.00,"/  /"
"15536",34.35,33.85,33.40,32.05,28.30,"Hello Ginger Kombucha","Rowdy Mermaid","12/12 oz","CASE","N","","","BEVERAGES","N",,10,11.00,"/  /"
"16001",41.00,39.80,38.70,37.15,32.80,"Greek Yogurt*","Greek Gods","6/24oz","CASE","N","","","DAIRY","Y",,1,0.00,"/  /"
"16017",15.25,15.25,14.80,14.20,12.55,"Comte","Rivoire Jacquem","80lb","CASE","Y","","","CHEESE FRANCE","N",,1,95.00,"/  /"
"16017P",15.25,15.25,14.80,14.20,12.55,"Comte 11lb","Rivoire Jacquem","11lb","PC.","Y","","","CHEESE FRANCE","N",,10,11.00,"/  /"
"16023",6.45,6.00,5.85,5.60,4.95,"Hemp Hearts","Blue Sky Hemp","50lb","CASE","Y","","","NUTS","N",,1,50.00,"/  /"
"16023P",6.65,6.00,5.85,5.60,4.95,"Hemp Hearts 5lb","Blue Sky Hemp","5lb","PC.","Y","","","NUTS","N",,2,5.00,"/  /"
"16024",102.45,98.10,0.00,91.55,80.80,"Preserved Lemons 3/4.4lb","Barnier","3/4.4lb","CASE","N","","","FRUITS","N",,7,0.00,"/  /"
"16031",53.30,52.55,51.80,49.75,43.90,"Alfonso Olives","La Medina","2/5lb","CASE","N","","","OLIVES","N",,7,0.00,"/  /"
"16032",67.10,66.15,65.20,62.60,55.25,"Pomodoraccio Semi Sundried Tomato","La Medina","6/18.7oz","CASE","N","","","TOMATOES","N",,2,0.00,"/  /"
"16038",82.65,81.40,80.20,76.75,63.20,"Labne","Sierra Nevada","32lb","CASE","N","","","DAIRY","N",,13,0.00,"/  /"
"16049",131.45,129.60,127.80,122.70,108.25,"Squid Ink","Sogno Toscano","12/180g","CASE","N","","","FISH MARINATED","N",,0,0.00,"07/26/23"
"16049P",11.30,11.00,10.65,10.25,12.80,"Squid Ink","Sogno Toscano","180g","PC.","N","","","FISH MARINATED","N",,4,0.00,"/  /"
"16050",74.25,73.20,72.20,69.30,61.15,"Tonno Tuna in Oil 24/6oz","Sclafani","24/6oz","CASE","N","","","FISH MARINATED","N",,2,0.00,"/  /"
"16071",42.60,42.60,41.40,39.75,35.05,"Olive Castelvetrano Whole 6/340g","Partanna","6/340g","CASE","N","","","OLIVES","N",,6,0.00,"/  /"
"16072",171.45,171.45,166.70,160.00,141.20,"Oil EVOO Sicilian 12/500mL","Partanna","12/500mL","CASE","N","","","OILS OLIVE","N",,4,15.00,"/  /"
"16073",245.75,242.30,238.90,229.35,202.40,"Oil EVOO Sicilian 12/1L","Partanna","12/1L","CASE","N","","","OILS OLIVE","N",,3,0.00,"/  /"
"16073P",21.10,20.50,19.95,19.15,16.90,"Oil EVOO Sicilian 1L","Partanna","1L","PC.","N","","","OILS OLIVE","N",,3,0.00,"/  /"
"16074",174.00,171.55,169.20,162.40,143.30,"Oil EVOO Sicilian 4/3L","Partanna","4/3L","CASE","N","","","OILS OLIVE","N",,0,0.00,"/  /"
"16074P",44.80,42.90,42.30,40.60,35.85,"Oil EVOO Sicilian 3L","Partanna","3L","PC.","N","","","OILS OLIVE","N",,2,0.00,"/  /"
"16075",68.50,67.55,66.60,63.95,56.45,"Olive Castelvetrano","Partanna","2/2.5kg","CASE","N","","","OLIVES","N",,13,0.00,"/  /"
"16075P",35.30,33.80,33.30,32.00,28.25,"Olive Castelvetrano 2.5kg","Partanna","2.5kg","PC.","N","","","OLIVES","N",,0,0.00,"/  /"
"16077",68.50,67.55,66.60,63.95,56.45,"Olive Castelvetrano Pitted","Partanna","2/2.3kg","CASE","N","","","OLIVES","N",,8,0.00,"/  /"
"16077P",35.30,34.25,33.30,32.00,28.25,"Olive Castelvetrano Pitted 2.3kg","Partanna","2.3kg","PC.","N","","","OLIVES","N",,0,0.00,"/  /"
"16090",33.35,35.20,34.75,33.35,29.40,"Blood Orange Soda Sicilian 6/4pks","A'Siciliana","6/4pks","CASE","N","","","BEVERAGES","N",,55,0.00,"/  /"
"16091",33.35,35.70,34.75,33.35,29.40,"Limonata Soda Sicilian 6/4pks","A'Siciliana","6/4pks","CASE","N","","","BEVERAGES","N",,8,0.00,"/  /"
"16128",28.50,28.10,27.75,26.60,23.50,"4.5"" Coffee Filters*","Vail Mountain","1000","CASE","N","","","COFFEE & TEA","Y",,2,0.00,"/  /"
"16129",104.30,102.85,101.40,97.35,85.90,"Meadow Mountain Portion Packs","Vail Mountain","50/3oz","CASE","N","","","COFFEE & TEA","N",,1,0.00,"/  /"
"16204",59.30,58.50,57.65,55.35,48.85,"Ground Espresso Italiano 6/12oz*","Vail Mountain","6/12oz","CASE","N","","","COFFEE & TEA","Y",,1,0.00,"/  /"
"16215",50.40,49.65,49.00,47.00,41.50,"Bridge Street Blend 5lb","Vail Mountain","5lb","BAG","N","","","COFFEE & TEA","N",,0,0.00,"/  /"
"16216",57.50,56.70,55.95,53.70,47.40,"Decaf Colombian Whole Bean-5lb","Vail Mountain","5lb","BAG","N","","","COFFEE & TEA","N",,3,0.00,"/  /"
"16218",108.60,107.05,105.60,101.35,89.45,"Decaf Colombian Portion Packs","Vail Mountain","50/3oz","CASE","N","","","COFFEE & TEA","N",,2,0.00,"/  /"
"16219",103.25,101.80,100.35,96.35,85.00,"Mountain Mist Black Iced Tea*","Vail Mountain","25/3.2oz","CASE","N","","","COFFEE & TEA","Y",,2,0.00,"/  /"
"16223",11.15,10.15,10.00,9.60,8.50,"Organic English Breakfast Tea","Vail Mountain","20ct","BOX","N","","","COFFEE & TEA","N",,10,0.00,"/  /"
"16227",104.30,102.85,101.40,97.35,85.90,"Cold Brew Coffee","Vail Mountain","6/4ct","CASE","N","","","COFFEE & TEA","N",,1,0.00,"/  /"
"16228",61.45,60.60,59.75,57.35,50.60,"Colombian Whole Bean 6/12oz*","Vail Mountain","6/12oz","CASE","N","","","COFFEE & TEA","Y",,1,0.00,"/  /"
"16627",41.45,40.85,40.30,38.70,34.15,"Assam Tea Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,3,0.00,"/  /"
"16628",19.65,19.40,19.10,18.35,16.20,"Egyptian Chamomile Bulk 1/2lb*","Vail Mountain","1/2lb","PC.","N","","","COFFEE & TEA","N",,2,0.00,"/  /"
"16629",23.15,22.85,22.50,21.60,19.10,"Masala Chai Tea Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,9,0.00,"/  /"
"16630",107.50,106.00,104.55,100.35,88.55,"Columbian Portion Pack*","Vail Mountain","50/3oz","CASE","N","","","COFFEE & TEA","Y",,3,0.00,"/  /"
"16631",50.40,49.65,49.00,47.00,41.50,"Whole Bean Espresso Italiano 5lb","Vail Mountain","5lb","BAG","N","","","COFFEE & TEA","N",,1,0.00,"/  /"
"16632",47.45,46.80,46.15,44.30,39.10,"Phoenix Jasmine Pearls  Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,4,0.00,"/  /"
"16633",20.30,20.00,19.75,18.95,16.75,"English Breakfast Tea Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","N",,4,0.00,"/  /"
"16634",20.30,20.00,19.75,18.95,16.75,"Vanilla Black Tea Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,1,0.00,"/  /"
"16635",21.75,21.45,21.15,20.30,17.90,"Passion Fruit Black Tea Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,0,0.00,"/  /"
"16636",21.75,21.45,21.15,20.30,17.90,"Mango Ceylon Tea 1lb Bulk*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,2,0.00,"/  /"
"16637",18.90,18.60,18.35,17.60,15.55,"Peppermint WA State Bulk 1/2*","Vail Mountain","1/2lb","PC.","N","","","COFFEE & TEA","Y",,5,0.00,"/  /"
"16638",26.20,25.80,25.45,24.45,21.55,"Darjeeling Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,0,0.00,"/  /"
"16639",22.90,22.55,22.25,21.35,18.85,"Korakundah Estate Blk Nilgiri Bulk*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,0,0.00,"/  /"
"16640",33.15,32.70,32.25,30.95,27.30,"Decaf Ginger Peach Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,0,0.00,"/  /"
"16641",71.75,70.75,69.75,66.95,59.10,"King Peony Silver Needle Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,0,0.00,"/  /"
"16642",21.75,21.45,21.15,20.30,17.90,"African Rooibos Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","Y",,4,0.00,"/  /"
"16643",25.40,25.00,24.70,23.70,20.90,"Jasmine Pouchong Bulk 1lb*","Vail Mountain","1lb","PC.","N","","","COFFEE & TEA","N",,12,0.00,"/  /"
"17000",27.75,27.35,26.95,25.90,22.85,"Bloody Mary Olives 6/6.7oz*","Divina","6/6.7oz","CASE","N","","","OLIVES","Y",,1,0.00,"/  /"
"17001",65.60,64.65,63.75,61.20,54.00,"Peppadew Peppers","Peppadew","2/3kg","CASE","N","","","VEGETABLES","N",,3,0.00,"/  /"
"17001P",33.75,32.35,31.90,30.60,27.00,"Peppadew Peppers 3kg","Peppadew","3kg","PC.","N","","","VEGETABLES","N",,1,0.00,"/  /"
"17030",12.45,12.30,12.10,11.65,10.25,"Cacciatore*","Licini Bros","10lb","CASE","Y","","","MEAT ITALIAN","Y",,3,10.00,"/  /"
"17030P",12.45,12.30,12.10,11.65,10.25,"Cacciatore*","Licini Bros","2/4.6oz","PC.","Y","","","MEAT ITALIAN","Y",,14,0.58,"/  /"
"17036",11.90,11.75,11.55,11.10,9.80,"Sopressata Hot","Licini Bros","4/4lb","CASE","Y","","","MEAT ITALIAN","N",,0,19.00,"/  /"
"17036P",11.90,11.75,11.55,11.10,9.80,"Sopressata Hot","Licini Bros","4lb","PC.","Y","","","MEAT ITALIAN","N",,0,4.00,"/  /"
"17050",106.20,104.70,103.25,99.10,87.45,"Prosciutto Italiano Sliced","Citterio","6/1lb","CASE","N","","","MEAT ITALIAN","N",,32,0.00,"/  /"
"17998",50.10,46.55,45.25,43.45,38.35,"Lingonberries Bulk Tub*","Felix","176oz","PC.","N","","","PRESERVES","N",,0,0.00,"/  /"
"18000",55.40,55.40,54.65,0.00,45.65,"Champagne Vinegar 2/5L","Beaufor","2/5L","CASE","N","","","VINEGARS","N",,10,0.00,"/  /"
"18000P",27.70,28.55,27.70,0.00,0.00,"Champagne Vinegar 5L","Beaufor","5L","PC.","N","","","VINEGARS","N",,1,0.00,"/  /"
"18002",47.75,47.75,47.05,0.00,39.30,"Tarragon White Wine Vinegar 2/5L","Beaufor","2/5L","CASE","N","","","VINEGARS","N",,6,0.00,"/  /"
"18002P",24.25,23.90,23.55,0.00,19.65,"Tarragon White Wine Vinegar 5L","Beaufor","5L","PC.","N","","","VINEGARS","N",,0,0.00,"/  /"
"18003",44.50,44.50,43.90,41.55,36.65,"Red Wine Vinegar Aged 2/5L","Beaufor","2/5L","CASE","N","","","VINEGARS","N",,15,0.00,"/  /"
"18003P",22.60,22.25,21.95,20.80,18.35,"Red Wine Vinegar Aged 5L","Beaufor","5L","PC.","N","","","VINEGARS","N",,1,0.00,"/  /"
"18004",47.65,47.65,47.00,44.50,39.25,"Apple Cider Vinegar 2/5L","Beaufor","2/5L","CASE","N","32925","","VINEGARS","N",,11,0.00,"/  /"
"18004P",24.20,23.85,23.50,22.25,19.65,"Apple Cider Vinegar 5L","Beaufor","5L","PC.","N","32925","","VINEGARS","N",,0,0.00,"/  /"
"18011",0.00,0.00,0.00,0.00,0.00,"Mustard Grain","","2/5 kg","CASE","N","","","","Y",,0,0.00,"/  /"
"18016",69.10,66.25,65.40,64.50,56.90,"Green Chili Medium 12/15oz*","Mama Montoya's","12/15oz","CASE","N","","","SOUPS","Y",,2,0.00,"/  /"
"18017",69.10,66.25,65.40,64.50,56.90,"Green Chili Hot 12/15oz*","Mama Montoya's","12/15oz","CASE","N","","","SOUPS","Y",,2,0.00,"/  /"
"18023",43.80,43.15,42.50,41.90,41.25,"Oat Flour Organic*","Golden Organics","25lb","CASE","N","","","FLOUR","Y",,0,0.00,"07/26/23"
"18024",46.20,42.90,41.70,40.00,35.30,"Crunchy Garlic w/ Chili Oil","S & B","6/3.88oz","CASE","N","","","ASIAN FOODS","N",,3,0.00,"/  /"
"18024P",7.70,7.15,6.95,6.70,5.90,"Crunchy Garlic w/ Chili Oil","S & B","3.88oz","PC.","N","","","ASIAN FOODS","N",,0,0.00,"/  /"
"18025",69.80,68.75,67.70,66.70,65.75,"Spelt Flour","Golden Organics","25lb","BAG","N","","","FLOUR","N",,0,0.00,"07/26/23"
"18219",20.55,20.55,19.25,18.60,18.15,"Salami Black Truffle*","Angel's Salumi","6/6.5oz","CASE","Y","","","MEAT ITALIAN","N",,0,3.50,"/  /"
"18219P",20.55,20.55,19.25,18.60,18.15,"Salami Black Truffle 6.5oz","Angel's Salumi","6.5oz","PC.","Y","","","MEAT ITALIAN","N",,0,0.58,"/  /"
"18226",17.75,17.50,17.25,17.00,17.00,"N'Duja Spreadable Salumi*","Sogno Toscano","8/1.5lb","CASE","Y","","","MEAT ITALIAN","Y",,0,14.50,"/  /"
"18226P",17.75,17.50,17.25,17.00,17.00,"NDuja Spreadable Salumi 1lb","Sogno Toscano","1.5lb","PC.","Y","","","MEAT ITALIAN","N",,0,1.75,"/  /"
"18227",11.90,16.45,16.20,14.05,13.75,"Guanciale*","Sogno Toscano","1.5lb","PC.","Y","","","MEAT ITALIAN","Y",,0,1.70,"/  /"
"18240",76.30,75.25,74.20,71.20,62.85,"Spaghetti GF","Sogno Toscano","10/500g","CASE","N","4000.16","","PASTA DRIED","N",,0,0.00,"07/26/23"
"18830",13.50,12.35,12.20,11.70,10.30,"Caramel Syrup 1883","1883","1L","PC.","N","","","BEVERAGE SYRUP","N",,17,0.00,"/  /"
"18831",13.50,12.35,12.20,11.70,10.30,"Hazelnut Syrup 1883*","1883","1L","PC.","N","","","BEVERAGE SYRUP","Y",,12,0.00,"/  /"
"18832",13.50,12.35,12.20,11.70,10.30,"Raspberry Syrup 1883","1883","1L","PC.","N","","","BEVERAGE SYRUP","N",,5,0.00,"/  /"
"18833",15.00,13.70,13.50,13.00,11.45,"Lemon Syrup 1883","1883","1L","PC.","N","","","BEVERAGE SYRUP","N",,5,0.00,"/  /"
"19001",93.75,89.80,88.55,85.00,75.00,"Fillo Dough","Kontos","24/1lb","CASE","N","","","PATISSERIES","N",,17,0.00,"/  /"
"19002",91.85,84.10,82.95,79.60,70.25,"Baklava 2.2oz","Kontos","2/48ct","CASE","N","","","PATISSERIES","N",,18,0.00,"/  /"
"19005",438.50,407.15,395.85,380.00,335.30,"Gelatin 250 Bloom Pork 8 Mesh 50lb","Gelita","50lb","CASE","N","Lot code:","","TECHNCAL NGRDNT","N",,12,0.00,"/  /"
"19008",51.25,46.95,46.25,44.40,39.20,"Falafel Mix","Kontos","2/5lb","CASE","N","","","HORS D'OEUVRES","N",,2,0.00,"/  /"
"19009",55.10,51.15,50.45,49.75,42.15,"Kataifi Dough Shredded Fillo","Kontos","12/1lb","CASE","N","","","PATISSERIES","N",,12,0.00,"/  /"
"19010",104.55,101.60,100.20,96.20,80.15,"Date Syrup 12/28.2oz","Ziyad","12/28.2oz","CASE","N","","","SUGAR & FONDANT","Y",,0,0.00,"/  /"
"19010P",9.00,8.50,8.35,8.05,7.10,"Date Syrup*","Ziyad","28.2oz","PC.","N","","","SUGAR & FONDANT","Y",,0,0.00,"/  /"
"19014",167.70,153.55,151.40,145.35,128.25,"Sugar Cane Swizzle Sticks 8.5""","Hula Girl","25/6.8oz","CASE","N","","","SUGAR & FONDANT","N",,3,0.00,"/  /"
"19102",71.05,70.05,69.05,66.30,58.50,"Raspberry Filling*","Dawn","12/2lb","CASE","N","","","PASTRY INGRDNTS","Y",,0,0.00,"/  /"
"19104",59.70,58.85,58.00,55.70,49.15,"Lemon Filling*","Dawn","12/2lb","CASE","N","","","PASTRY INGRDNTS","Y",,0,0.00,"/  /"
"19108",160.90,158.60,156.40,150.15,132.50,"Caramel Color*","Sethness","4/1gal","CASE","N","","","COLORANTS","Y",,0,0.00,"/  /"
"19108P",43.05,42.45,41.85,40.20,35.45,"Caramel Color 1gal*","Sethness","1 gal","PC.","N","","","COLORANTS","N",,3,0.00,"/  /"
"19110",172.90,170.45,168.10,161.35,142.40,"Instant Tender-Jel Starch-50lb","Tate & Lyle","50lb","BAG","N","","","TECHNCAL NGRDNT","N",,10,0.00,"/  /"
"19200",1616.10,1593.35,1571.20,1508.35,1330.90,"Gelatin Lime Bone 150 Bloom*","Nutra Food Ing","125 kg","TUB","N","","","TECHNCAL NGRDNT","Y",,0,0.00,"/  /"
"19455",154.35,141.30,139.35,133.75,118.00,"Miette et Chocolate Custom Logo*","ChocoButter","756pc","CASE","N","","","CHOCOLATE DECOR","Y",,10,0.00,"/  /"
"19457",24.30,23.95,23.65,22.70,20.00,"Transfer Sheet Cocoa Bean Gold*","ChocoButter","10ct","PC.","N","","","CHOCOLATE DECOR","Y",,2,0.00,"/  /"
"19459",24.30,23.95,23.65,22.70,20.00,"Transfer Sheet Chalk Lines Orange*","ChocoButter","10ct","PC.","N","","","CHOCOLATE DECOR","Y",,0,0.00,"06/22/23"
"19461",24.30,23.95,23.65,22.70,20.00,"Transfer Sheet Jazz Age Mango*","ChocoButter","10ct","PC.","N","","","CHOCOLATE DECOR","Y",,5,0.00,"/  /"
"19462",24.30,23.95,23.65,22.70,20.00,"Transfer Sheet Cabaret Gold*","ChocoButter","10ct","PC.","N","","","CHOCOLATE DECOR","Y",,6,0.00,"/  /"
"19463",29.30,28.90,28.50,27.35,24.15,"Transfer Sheet Swirling Leaves*","ChocoButter","10ct","PC.","N","","","CHOCOLATE DECOR","Y",,0,0.00,"06/22/23"
"19464",36.30,35.80,35.30,33.90,29.90,"Transfer Sheet Pyramid Rose/Mango*","ChocoButter","10ct","PC.","N","","","CHOCOLATE DECOR","Y",,4,0.00,"/  /"
"19800",226.75,0.00,0.00,211.65,186.75,"Castle Pines Transfer 4 color*","ChocoButter","100ct","BOX","N","","","CHOCOLATE DECOR","Y",,2,0.00,"/  /"
"19801",126.75,0.00,0.00,118.30,104.40,"Castle Pines Transfer Gold*","ChocoButter","100ct","PC.","N","","","CHOCOLATE DECOR","Y",,4,0.00,"/  /"
"19803",174.75,172.30,169.90,163.10,143.90,"La Belle Custom Logo","ChocoButter","588ct","CASE","N","","","CHOCOLATE DECOR","N",,11,0.00,"07/24/23"
"19812",23.60,23.25,22.95,22.00,19.40,"Malic Acid*","Modernist Pantr","400g","PC.","N","","","TECHNCAL NGRDNT","Y",,0,0.00,"/  /"
"19814",534.30,526.80,519.45,498.70,440.00,"Malic Acid 50lb Bulk*","Modernist Pantr","50lb","CASE","N","","","TECHNCAL NGRDNT","Y",,0,0.00,"/  /"
"19841",143.25,141.20,139.25,133.70,117.95,"Safflower Oil Organic 35lb*","The Oil Barn CO","35lb","CASE","N","","","OILS VEGETABLE","Y",,0,0.00,"/  /"
"19842",113.95,112.35,110.80,106.35,93.85,"Sunflower Oil Bibb 35lb*","The Oil Barn CO","35lb","CASE","N","","","OILS VEGETABLE","N",,18,0.00,"/  /"
"20009",185.25,182.65,180.10,172.90,0.00,"Pomace Olive Oil 6/1gal*","Potenza","6/1gal","CASE","N","","","OILS OLIVE","Y",,0,0.00,"/  /"
"20009P",30.90,30.45,30.05,28.85,0.00,"Pomace Olive Oil 1gal*","Potenza","1gal","PC.","N","","","OILS OLIVE","N",,0,0.00,"/  /"
"20016",162.40,160.10,157.90,151.55,133.75,"Black Tahini Organic*","Kevala","12/2lb","CASE","N","","","PRESERVES","Y",,2,0.00,"/  /"
"20016P",13.55,13.35,13.20,12.65,11.15,"Black Tahini Organic 2lb*","Kevala","2lb","PC.","N","","","PRESERVES","Y",,9,0.00,"/  /"
"20018",171.25,168.85,166.50,159.80,141.00,"Tahini Bulk Pail","Soom","40lb","PAIL","N","","","PRESERVES","N",,25,0.00,"/  /"
"20020",189.80,187.15,184.55,177.15,156.30,"Tahini Bulk Pail Organic*","Soom","40lb","PAIL","N","","","PRESERVES","Y",,0,0.00,"/  /"
"20043",127.95,127.95,124.30,116.00,102.40,"Pomace Oil 35lb","Mandia Trading","35lb","CASE","N","","","OILS OLIVE","N",,65,0.00,"/  /"
"20046",143.60,141.55,139.60,134.00,118.25,"Oil Extra Virgin Olive French","Nicolas Alziari","6/16.9oz","CASE","N","","","OILS OLIVE","N",,1,0.00,"/  /"
"20046P",24.65,23.60,23.30,22.35,19.75,"Oil Extra Virgin Olive French 16.9o","Nicolas Alziari","16.9oz","PC.","N","","","OILS OLIVE","N",,3,0.00,"/  /"
"20047",24.75,23.00,22.35,21.45,18.95,"DOP Ligurian EVOO","Terre Bormane","16.9oz","PC.","N","","","OILS OLIVE","Y",,14,0.00,"/  /"
"20655",98.45,97.05,95.70,91.90,81.10,"Tahini 12/16oz","Soom","12/16oz","CASE","N","","","PRESERVES","N",,11,0.00,"/  /"
"20655P",8.45,8.45,8.00,7.70,6.80,"Tahini 16oz","Soom","16oz","PC.","N","","","PRESERVES","N",,10,0.00,"/  /"
